,_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,your_name
102,6161c792f4a68f52a28e00a0,0QngtucRGPxyaTQ9u47UnN,0.551,0.885,6,-1.489,1,0.124,0.139,0.0,0.114,0.509,172.95,208862,4,1,honeyd3wy
103,6161b980425e092516eb7028,0pJalGEYsRikSogLkXU6KV,0.55,0.767,9,-6.281,1,0.0248,0.00141,3.07e-06,0.143,0.601,104.016,192027,3,0,honeyd3wy
104,6161b980425e092516eb702f,10M2Ex445zw585Ducldzkw,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,224853,4,0,honeyd3wy
105,6161b3e6f7207f813e54c782,69BIczdH6QMnFx7dsSssN8,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,209355,4,1,honeyd3wy
106,6161b980425e092516eb7033,3hLuHKzG1cmlRpq53ZVWd8,0.519,0.552,2,-5.023,1,0.0259,0.18,0.0,0.149,0.331,89.957,215141,4,0,honeyd3wy
107,6161b3e6f7207f813e54c793,2Oj5hRhkJH00VGzjBdQNq3,0.656,0.721,8,-3.981,1,0.0477,0.393,0.0,0.124,0.74,98.019,217533,4,1,honeyd3wy
108,6161c792f4a68f52a28e0094,3QG2RzpI7DLcwFB8OCG9tA,0.565,0.945,8,-0.329,1,0.064,0.0967,0.0,0.177,0.841,164.08,186896,4,1,honeyd3wy
109,6161b980425e092516eb7065,1KhrAWvLIjRlQIJtSTgvsi,0.605,0.864,6,-5.365,1,0.0292,0.13,0.000827,0.113,0.736,122.918,228187,4,0,honeyd3wy
110,6161b3e6f7207f813e54c7a5,4vLqN0bIxIQjlet2mIMBnx,0.835,0.934,1,-1.258,1,0.0431,0.125,0.000501,0.222,0.811,124.98,233280,4,1,honeyd3wy
111,6161b980425e092516eb7043,2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4,0,honeyd3wy
